stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1974,4168,"CENTREVILLE FARMS RD @ ROUTE 29",,38.840511,-77.411428,,,,,,0
1975,4169,"CENTREWOOD DR @ FIELD ENCAMPMENT RD",,38.827649,-77.441011,,,,,,0
1976,4170,"CENTREVILLE FARMS RD @ GRANITE STEP",,38.848632,-77.405038,,,,,,0
1977,4171,"CENTREVILLE FARMS RD @ LELAND RD",,38.843828,-77.413509,,,,,,0
1978,4172,"CENTREVILLE FARMS RD @ LELAND RD",,38.844203,-77.413404,,,,,,0
1979,4173,"CENTREVILLE FARMS RD @ ROUTE 29",,38.840346,-77.411700,,,,,,0
1980,4174,"CENTREWOOD DR @ MACHEN RD",,38.832042,-77.439460,,,,,,1
1982,4176,"CENTREVILLE FARMS @ MIST FLOWER DR",,38.842427,-77.412522,,,,,,0
1983,4177,"CENTREWOOD DR @ MULTIPLEX DR",,38.828419,-77.440329,,,,,,1
1986,4180,"CENTREWOOD DR @ SUMMER TREE RD",,38.829981,-77.440316,,,,,,1
1987,4181,"CENTREWOOD DR @ SUMMER TREE RD",,38.830081,-77.439995,,,,,,1
1988,4182,"CENTREVILLE FARMS@ TWILIGHT GLOW DR",,38.845692,-77.412926,,,,,,0
1989,4183,"CENTREVILLE FARMS RD @ GRANITE STEP",,38.848417,-77.404770,,,,,,0
1990,4184,"CENTREVILLE FARMS RD @ LAMIUM LN",,38.842266,-77.412662,,,,,,0
1991,4185,"CENTREVILLE FARMS RD @ RACHAEL ALIC",,38.848582,-77.410213,,,,,,0
1992,4186,"CENTREVILLE FARMS RD @ PALE MOON WA",,38.848438,-77.410054,,,,,,0
1995,4190,"FIELD ENCAMPMENT RD @ UNIFORM DR",,38.828486,-77.444684,,,,,,0
1996,4191,"FIELD ENCAMPMENT RD @ MEADOW GLAD L",,38.830509,-77.448023,,,,,,0
1997,4192,"FIELD ENCAMPMENT RD @ SAINT GERMAIN",,38.831863,-77.450205,,,,,,0
1998,4193,"FIELD ENCAMPMENT RD @ SILO VALLEY V",,38.828396,-77.441649,,,,,,0
2000,4197,"FAIR LAKES PKWY @ FAIR LAKES CIR",,38.861251,-77.389225,,,,,,0
2001,4198,"FLAG POLE LN @ GRANITE CREEK LN",,38.872347,-77.303702,,,,,,0
2002,4199,"FLAG POLE LN @ GRANITE CREEK LN",,38.872154,-77.303544,,,,,,0
2006,4207,"LEE RD @ CONFERENCE CENTER DR",,38.880210,-77.452960,,,,,,0
2007,4208,"ROUTE 29 @ PICKWICK RD",,38.839043,-77.423974,,,,,,0
2008,4209,"ROUTE 50 @ AIRLINE PKWY",,38.901547,-77.449812,,,,,,0
2009,4210,"ROUTE 50 @ AVION PKWY",,38.901555,-77.448642,,,,,,0
2010,4211,"ROUTE 50 @ CHANTILLY RD",,38.890909,-77.422299,,,,,,0
